Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.2,0.6901
HDA,0.05,0.2,0.0668
IONE,0.05,0.2,0.6853
HDA,0.2,0.2,0.0277
BigAlign,0.1,0.2,0.0144
IsoRank,0.1,0.2,0.0598
IONE,0.01,0.2,0.7189
PALE,0.05,0.2,0.9904
FINAL,0.2,0.2,0.8505
BigAlign,0.2,0.2,0.4529
BigAlign,0.01,0.2,0.0094
DeepLink,0.01,0.2,0.7828
HDA,0.1,0.2,0.0574
PALE,0.01,0.2,0.9924
BigAlign,0.05,0.2,0.0083
DeepLink,0.1,0.2,0.6055
IONE,0.2,0.2,0.6720
FINAL,0.05,0.2,0.0006
IsoRank,0.05,0.2,0.0843
PALE,0.1,0.2,0.9938
FINAL,0.1,0.2,0.0006
DeepLink,0.2,0.2,0.4609
IsoRank,0.01,0.2,0.3328
IsoRank,0.2,0.2,0.0321
HDA,0.01,0.2,0.0893
PALE,0.2,0.2,0.9779
FINAL,0.01,0.2,0.0017
IONE,0.1,0.2,0.7010
