algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.017240000000000002,0.017250014492747538,.6814
MAGNA,0.2,0.0517,0.05026624115646603,.6893
MAGNA,0.1,0.03794,0.02557915166693376,.6897
MAGNA,0.0,0.02756,0.04325931113644784,.6953
MAGNA,0.7,0.013800000000000002,0.01889642823392823,.6564
MAGNA,0.5,0.01378,0.01442643407082984,.6674
MAGNA,0.9,0.026500000000000003,0.04709267458957922,.6355
MAGNA,0.01,0.02068,0.014438386336429706,.6904
MAGNA,0.03,0.0483,0.01889642823392823,.6882
MAGNA,0.02,0.04138,0.026184002749770712,.7014
MAGNA,0.05,0.02068,0.02834769831926395,.6851
MAGNA,0.04,0.02068,0.03737635616268659,.6908
