algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.51034,0.4227934341968901,18.6704
MAGNA,0.2,0.44482,0.5093455624622639,20.0872
MAGNA,0.1,0.56552,0.4598030143441863,20.0625
MAGNA,0.0,1.0,0.0,22.6574
MAGNA,0.7,0.04168,0.03355736878838983,14.8201
MAGNA,0.5,0.062060000000000004,0.07479537418851516,17.6209
MAGNA,0.9,0.02608,0.017871401735734104,13.6436
MAGNA,0.01,0.48276,0.48947981367978805,20.3234
MAGNA,0.03,0.49656,0.46365330582235686,20.3370
MAGNA,0.02,0.8138,0.41635585741046083,22.2383
MAGNA,0.05,1.0,0.0,22.2917
MAGNA,0.04,0.3,0.3930863963558139,20.4920
