algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.03102,0.03737635616268659,.1127
MAGNA,0.2,0.041400000000000006,0.028864770915425608,.1158
MAGNA,0.1,0.034480000000000004,0.021147269327267768,.1189
MAGNA,0.0,0.02066,0.018882743444743406,.1238
MAGNA,0.7,0.02068,0.02834769831926395,.0995
MAGNA,0.5,0.062060000000000004,0.03968208663868371,.1065
MAGNA,0.9,0.0173,0.01817470770053813,.0908
MAGNA,0.01,0.05172,0.047231948932899226,.1237
MAGNA,0.03,0.031,0.01889642823392823,.1219
MAGNA,0.02,0.02758,0.031330687831581355,.1213
MAGNA,0.05,0.03104,0.018882743444743406,.1216
MAGNA,0.04,0.03792,0.02834161251587496,.1232
