algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.02068,0.022475920448337596,.6162
MAGNA,0.2,0.02068,0.022475920448337596,.6283
MAGNA,0.1,0.034460000000000005,0.043939822484848526,.6577
MAGNA,0.0,0.031020000000000002,0.014438386336429706,.6643
MAGNA,0.7,0.01728,0.012198237577617515,.5436
MAGNA,0.5,0.01034,0.015423294070982373,.5888
MAGNA,0.9,0.009640000000000001,0.013201818056616294,.4477
MAGNA,0.01,0.048260000000000004,0.025579151666933756,.6670
MAGNA,0.03,0.03792,0.03316544888886626,.6598
MAGNA,0.02,0.04138,0.026151042044247494,.6676
MAGNA,0.05,0.055200000000000006,0.01889642823392823,.6578
MAGNA,0.04,0.017240000000000002,0.02987788479795717,.6591
