algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.39654,0.3539678700108246,2.4713
MAGNA,0.2,0.4138,0.4734375407590741,2.5661
MAGNA,0.1,0.6655,0.4398493151068898,2.6436
MAGNA,0.0,0.39654,0.4576532781484254,2.6727
MAGNA,0.7,0.020880000000000003,0.028318668754021614,2.1017
MAGNA,0.5,0.10346,0.16584540391581554,2.3779
MAGNA,0.9,0.0173,0.028320840383011234,2.0549
MAGNA,0.01,0.6,0.4719266945193925,2.7174
MAGNA,0.03,0.61378,0.42751245245021813,2.6612
MAGNA,0.02,0.7793,0.4365801186494868,2.7763
MAGNA,0.05,0.56898,0.45712105836419303,2.6456
MAGNA,0.04,0.62758,0.49501220894034526,2.7035
