algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.25516,0.4020205877812727,26.6739
MAGNA,0.2,0.67242,0.42339449925571776,29.1114
MAGNA,0.1,0.82758,0.38554284068051375,30.2627
MAGNA,0.0,1.0,0.0,31.1005
MAGNA,0.7,0.01738,0.029879290486890753,21.9947
MAGNA,0.5,0.0833,0.055982541921566945,24.3965
MAGNA,0.9,0.0174,0.023825931251474725,20.7138
MAGNA,0.01,0.63448,0.5006566208490606,28.8638
MAGNA,0.03,0.66896,0.4559133996714727,29.4809
MAGNA,0.02,0.64828,0.4840775216842856,30.1978
MAGNA,0.05,0.8138,0.41635585741046083,30.2045
MAGNA,0.04,0.73448,0.4155228718133335,28.9101
