algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.26552000000000003,0.39420887483667844,2.1020
MAGNA,0.2,0.7068800000000001,0.3965652178393864,2.2247
MAGNA,0.1,0.52414,0.4432006746384757,2.4105
MAGNA,0.0,0.93794,0.13877037868363695,2.6988
MAGNA,0.7,0.02432,0.009296343367152486,1.6153
MAGNA,0.5,0.03792,0.022506599032283844,1.7970
MAGNA,0.9,0.014520000000000002,0.013257149014776896,1.3812
MAGNA,0.01,0.81034,0.4240926526126101,2.6671
MAGNA,0.03,0.70344,0.41063050057198625,2.5390
MAGNA,0.02,0.65862,0.3979225640749718,2.1842
MAGNA,0.05,0.67586,0.44983451179294814,2.4484
MAGNA,0.04,0.8,0.3362445612943055,2.3903
