algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.01378,0.02246824425717328,4.4047
MAGNA,0.2,0.034480000000000004,0.027274658567982113,4.4487
MAGNA,0.1,0.04828,0.04462927290467547,4.4829
MAGNA,0.0,0.04482,0.05534123236791895,4.5257
MAGNA,0.7,0.01748,0.030397894663940134,4.0762
MAGNA,0.5,0.02066,0.007736795202149273,4.3794
MAGNA,0.9,0.02116,0.015762233344294836,3.4698
MAGNA,0.01,0.034480000000000004,0.021147269327267768,4.5220
MAGNA,0.03,0.0379,0.01889642823392823,4.5073
MAGNA,0.02,0.031020000000000002,0.02834769831926395,4.5029
MAGNA,0.05,0.04138,0.009420827989088857,4.5044
MAGNA,0.04,0.02758,0.031330687831581355,4.4985
