algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.5862,0.4935827792782078,25.8764
MAGNA,0.2,0.66552,0.4612808385354848,26.6918
MAGNA,0.1,0.82414,0.393234914523113,38.6006
MAGNA,0.0,1.0,0.0,45.0477
MAGNA,0.7,0.0352,0.01787889817634185,19.2188
MAGNA,0.5,0.02414,0.015434474399862149,21.9517
MAGNA,0.9,0.008660000000000001,0.011915452152562235,17.7055
MAGNA,0.01,1.0,0.0,42.4611
MAGNA,0.03,1.0,0.0,43.4711
MAGNA,0.02,1.0,0.0,46.9363
MAGNA,0.05,0.9931,0.015428869044748538,41.1018
MAGNA,0.04,1.0,0.0,42.1902
