algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.044840000000000005,0.033611054729061986,.2400
MAGNA,0.2,0.03104,0.03084935979886779,.2370
MAGNA,0.1,0.02758,0.03968642085147009,.2572
MAGNA,0.0,0.01722,0.02110644451346555,.2578
MAGNA,0.7,0.0141,0.014702210718119911,.2214
MAGNA,0.5,0.02758,0.0261708234490243,.2276
MAGNA,0.9,0.04182,0.013299135310237277,.2196
MAGNA,0.01,0.03792,0.01442643407082984,.2387
MAGNA,0.03,0.03792,0.028341612515874956,.2383
MAGNA,0.02,0.04136,0.04816589042050401,.2398
MAGNA,0.05,0.03792,0.0576907011571189,.2470
MAGNA,0.04,0.024120000000000003,0.02613784612396362,.2403
