algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.63448,0.5006566208490606,107.3293
MAGNA,0.2,0.84828,0.3392562335462681,121.6774
MAGNA,0.1,0.83448,0.3701139716357652,122.6569
MAGNA,0.0,1.0,0.0,147.5563
MAGNA,0.7,0.04894,0.028264872191467626,54.8360
MAGNA,0.5,0.18964,0.1954253898550544,63.9684
MAGNA,0.9,0.00824,0.011283970932256073,37.1425
MAGNA,0.01,1.0,0.0,146.2741
MAGNA,0.03,1.0,0.0,143.7439
MAGNA,0.02,0.85862,0.31613529065892026,135.5102
MAGNA,0.05,0.9069,0.14404870704036188,128.0307
MAGNA,0.04,1.0,0.0,136.9051
