algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.57588,0.447198559926125,24.2732
MAGNA,0.2,0.84482,0.34699302874841736,30.5444
MAGNA,0.1,1.0,0.0,34.6599
MAGNA,0.0,1.0,0.0,35.8344
MAGNA,0.7,0.0414,0.05394529636585566,13.3952
MAGNA,0.5,0.08964,0.07652753099375413,18.9276
MAGNA,0.9,0.021580000000000002,0.015087809648852282,9.1642
MAGNA,0.01,1.0,0.0,35.9228
MAGNA,0.03,0.9862,0.030857738089497076,33.4254
MAGNA,0.02,1.0,0.0,35.6019
MAGNA,0.05,1.0,0.0,34.3852
MAGNA,0.04,0.93104,0.1541992477283855,34.0067
