algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.02066,0.007736795202149273,.8965
MAGNA,0.2,0.02414,0.028867767492481995,.9150
MAGNA,0.1,0.02414,0.028867767492481995,.9168
MAGNA,0.0,0.03102,0.03317064967708652,.9199
MAGNA,0.7,0.02112,0.014891507646977858,.8697
MAGNA,0.5,0.02414,0.03361618657730231,.8905
MAGNA,0.9,0.0308,0.02275488958443877,.8316
MAGNA,0.01,0.00344,0.007692073842599277,.9169
MAGNA,0.03,0.01378,0.01442643407082984,.9133
MAGNA,0.02,0.02068,0.022475920448337596,.9139
MAGNA,0.05,0.03104,0.03533246382577926,.9190
MAGNA,0.04,0.02758,0.019659272621335714,.9054
