algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.044840000000000005,0.04496140567197605,5.3796
MAGNA,0.2,0.21724,0.3555527851107343,5.5728
MAGNA,0.1,0.36896,0.49875973474209,5.7286
MAGNA,0.0,0.7069,0.40397556237970633,5.8343
MAGNA,0.7,0.031200000000000002,0.022492998910772215,4.8490
MAGNA,0.5,0.04138,0.019676813766461278,4.9577
MAGNA,0.9,0.00852,0.01905129916829821,4.7741
MAGNA,0.01,0.51378,0.46655472562176453,5.7179
MAGNA,0.03,0.88966,0.11280353717858317,5.7579
MAGNA,0.02,0.20002,0.371718444524885,5.7825
MAGNA,0.05,0.47928,0.4623979855059924,5.7287
MAGNA,0.04,0.73448,0.3320229690849716,5.8234
