algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.1724,0.12068214449536435,.5790
MAGNA,0.2,0.03792,0.039300979631556265,.5834
MAGNA,0.1,0.12758,0.17732359403080009,.6005
MAGNA,0.0,0.22416,0.2726136331880708,.6132
MAGNA,0.7,0.03478,0.0366775408117829,.4963
MAGNA,0.5,0.048260000000000004,0.03738098447071719,.5353
MAGNA,0.9,0.01354,0.01998494433317241,.4675
MAGNA,0.01,0.20342000000000002,0.2505607750626582,.6155
MAGNA,0.03,0.24136,0.3785408736186886,.6071
MAGNA,0.02,0.14138,0.1470111288304392,.6113
MAGNA,0.05,0.5207,0.42202233945610035,.6114
MAGNA,0.04,0.05172,0.03447501994198118,.6059
