algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.6275999999999999,0.37628128441366837,5.8056
MAGNA,0.2,0.17932,0.12937784586241957,5.4198
MAGNA,0.1,0.53794,0.48557498699994833,6.2910
MAGNA,0.0,0.9586399999999999,0.0566345124460342,6.7217
MAGNA,0.7,0.017480000000000002,0.024594857186005372,4.2410
MAGNA,0.5,0.02758,0.0261708234490243,5.1210
MAGNA,0.9,0.024560000000000002,0.01772873373932837,4.4233
MAGNA,0.01,0.76896,0.31642298905104854,6.6528
MAGNA,0.03,0.81724,0.40866378356786154,6.8440
MAGNA,0.02,0.83448,0.3701139716357652,6.8905
MAGNA,0.05,0.96552,0.07709962386419275,6.9102
MAGNA,0.04,0.38276,0.4027737739724373,5.9816
