algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.26552000000000003,0.39628249645928093,13.9763
MAGNA,0.2,0.61034,0.5180441129865294,14.7164
MAGNA,0.1,0.22068,0.4371006657510373,14.0858
MAGNA,0.0,0.6724,0.43822956883350533,15.3002
MAGNA,0.7,0.02452,0.029293975489851153,12.2655
MAGNA,0.5,0.05516,0.03316026236325642,13.3450
MAGNA,0.9,0.01162,0.017257520099944836,11.6404
MAGNA,0.01,0.27242,0.40971190732025353,14.4851
MAGNA,0.03,0.6655,0.4574171728302295,15.0906
MAGNA,0.02,0.45516,0.5042421471872418,15.1022
MAGNA,0.05,1.0,0.0,15.4773
MAGNA,0.04,0.6586,0.4636815663793418,15.1668
