algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.63102,0.5055772067647037,7.8475
MAGNA,0.2,0.77932,0.3357315475197408,8.0192
MAGNA,0.1,0.64482,0.4882188259377141,8.7715
MAGNA,0.0,1.0,0.0,12.4662
MAGNA,0.7,0.01382,0.007726706931157672,5.4789
MAGNA,0.5,0.0931,0.10741352335716392,5.9712
MAGNA,0.9,0.03038,0.03701711766196823,4.4474
MAGNA,0.01,0.73104,0.3700985990246383,9.7730
MAGNA,0.03,1.0,0.0,12.5198
MAGNA,0.02,0.83794,0.3623771764336159,9.5951
MAGNA,0.05,0.74482,0.3662373847656735,9.3035
MAGNA,0.04,0.89656,0.23129887159257825,9.6572
