algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.02414,0.015434474399862149,1.0203
MAGNA,0.2,0.23794,0.42833158067086297,1.1102
MAGNA,0.1,0.39654,0.4885529735862837,1.1360
MAGNA,0.0,0.72758,0.41816266213042025,1.2132
MAGNA,0.7,0.045040000000000004,0.028849488730305083,.8275
MAGNA,0.5,0.05174,0.07902760909960518,.9274
MAGNA,0.9,0.02614,0.03628454216329593,.7268
MAGNA,0.01,0.33794,0.38832949669063255,1.1627
MAGNA,0.03,0.31724,0.42383297181790847,1.1316
MAGNA,0.02,0.48274,0.4701216736122682,1.1443
MAGNA,0.05,0.53792,0.4461915138144158,1.1850
MAGNA,0.04,0.5448200000000001,0.47240383889210724,1.1280
