algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.017240000000000002,0.017250014492747538,.1978
MAGNA,0.2,0.02066,0.007736795202149273,.2054
MAGNA,0.1,0.034480000000000004,0.03225844075587039,.2113
MAGNA,0.0,0.031020000000000002,0.02834769831926395,.2171
MAGNA,0.7,0.0139,0.014642745644174797,.1663
MAGNA,0.5,0.034480000000000004,0.021147269327267768,.1880
MAGNA,0.9,0.00416,0.009302042786399125,.1514
MAGNA,0.01,0.04828,0.03316544888886626,.2174
MAGNA,0.03,0.058620000000000005,0.026170823449024296,.2166
MAGNA,0.02,0.024120000000000003,0.0261708234490243,.2149
MAGNA,0.05,0.03104,0.007736795202149273,.2168
MAGNA,0.04,0.05514,0.030838174394733554,.2168
