algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.02758,0.031330687831581355,2.5352
MAGNA,0.2,0.0793,0.06745457730947545,2.5874
MAGNA,0.1,0.01722,0.02110644451346555,2.6119
MAGNA,0.0,0.21724000000000002,0.4190677904587753,2.6383
MAGNA,0.7,0.02104,0.019208409616623654,2.3172
MAGNA,0.5,0.02756,0.04325931113644784,2.3930
MAGNA,0.9,0.02024,0.035335647722944036,2.2839
MAGNA,0.01,0.34826,0.308778452939968,2.6441
MAGNA,0.03,0.08618,0.06565978221103082,2.6293
MAGNA,0.02,0.20344,0.32125865435813555,2.6224
MAGNA,0.05,0.32067999999999997,0.3893147145947607,2.6348
MAGNA,0.04,0.23792000000000002,0.24058525931569458,2.6372
