algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.05172,0.029834577255258704,.3898
MAGNA,0.2,0.017240000000000002,0.017250014492747538,.4014
MAGNA,0.1,0.02756,0.015434474399862149,.4138
MAGNA,0.0,0.04826,0.05231030491212989,.4234
MAGNA,0.7,0.01746,0.00028809720581775847,.3227
MAGNA,0.5,0.02068,0.022475920448337596,.3643
MAGNA,0.9,0.01238,0.01792768808296262,.2843
MAGNA,0.01,0.04138,0.026184002749770712,.4193
MAGNA,0.03,0.04136,0.02886179135119648,.4181
MAGNA,0.02,0.02414,0.015434474399862149,.4197
MAGNA,0.05,0.04138,0.026184002749770712,.4160
MAGNA,0.04,0.03792,0.028341612515874956,.4171
