algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.70692,0.3853151658058634,52.4554
MAGNA,0.2,0.46898,0.4878610529648785,47.8827
MAGNA,0.1,0.47588,0.4803661905255198,51.8749
MAGNA,0.0,1.0,0.0,59.0631
MAGNA,0.7,0.01058,0.009659554855168017,34.9189
MAGNA,0.5,0.05516,0.03316026236325642,35.9182
MAGNA,0.9,0.01764,0.019217778227464278,21.2969
MAGNA,0.01,0.74138,0.36575098359402947,53.7313
MAGNA,0.03,0.82414,0.393234914523113,57.2321
MAGNA,0.02,0.9862,0.030857738089497076,56.9894
MAGNA,0.05,0.86896,0.2930143477715724,57.0194
MAGNA,0.04,1.0,0.0,58.7488
