algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.13104,0.11280200796085148,3.1288
MAGNA,0.2,0.75516,0.3152000206218267,3.7073
MAGNA,0.1,0.81724,0.40866378356786154,4.4611
MAGNA,0.0,0.82758,0.38554284068051375,5.2316
MAGNA,0.7,0.0521,0.03657881900772632,2.6251
MAGNA,0.5,0.1862,0.22363764218038068,2.9194
MAGNA,0.9,0.02256,0.023023748608773507,2.1999
MAGNA,0.01,1.0,0.0,5.1661
MAGNA,0.03,0.73104,0.435083219625855,4.2537
MAGNA,0.02,0.82068,0.4009717097252623,4.2634
MAGNA,0.05,0.63448,0.4863449979181445,3.8478
MAGNA,0.04,0.8724,0.20962709748503414,3.9973
