algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.25172,0.4215513930708805,10.4402
MAGNA,0.2,0.0931,0.11083002751962122,9.8950
MAGNA,0.1,0.8138,0.41635585741046083,12.7804
MAGNA,0.0,0.8069,0.4317847264552094,13.4691
MAGNA,0.7,0.031900000000000005,0.031910499839394556,7.2997
MAGNA,0.5,0.0586,0.061666563062976035,8.5170
MAGNA,0.9,0.00426,0.009525649584149105,5.9829
MAGNA,0.01,1.0,0.0,13.4818
MAGNA,0.03,0.72414,0.38475458151918085,12.5028
MAGNA,0.02,0.65516,0.4761093813400446,12.2040
MAGNA,0.05,0.81724,0.40866378356786154,12.9694
MAGNA,0.04,1.0,0.0,13.1187
