algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.01722,0.02110644451346555,.0523
MAGNA,0.2,0.01378,0.02246824425717328,.0540
MAGNA,0.1,0.02068,0.022475920448337596,.0554
MAGNA,0.0,0.04482,0.05664668569298648,.0558
MAGNA,0.7,0.031200000000000002,0.014762621718380513,.0516
MAGNA,0.5,0.02758,0.019659272621335714,.0502
MAGNA,0.9,0.02034,0.022852964796717296,.0480
MAGNA,0.01,0.024120000000000003,0.019659272621335714,.0565
MAGNA,0.03,0.01034,0.015423294070982373,.0917
MAGNA,0.02,0.05516,0.05639107198839192,.0567
MAGNA,0.05,0.024120000000000003,0.019659272621335714,.1341
MAGNA,0.04,0.013800000000000002,0.01889642823392823,.1627
