algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.03446,0.03448750498368938,1.2447
MAGNA,0.2,0.04136,0.03967773935092573,1.2666
MAGNA,0.1,0.034480000000000004,0.027274658567982113,1.2892
MAGNA,0.0,0.0517,0.03658100600038222,1.3160
MAGNA,0.7,0.03452,0.04039105098904954,1.1389
MAGNA,0.5,0.024120000000000003,0.009475600244839375,1.1994
MAGNA,0.9,0.01362,0.012518865763318976,.9050
MAGNA,0.01,0.06896000000000001,0.038572179093227285,1.3147
MAGNA,0.03,0.031020000000000002,0.014438386336429706,1.3104
MAGNA,0.02,0.03794,0.02557915166693376,1.3047
MAGNA,0.05,0.03792,0.02837202847876761,1.3013
MAGNA,0.04,0.031,0.01889642823392823,1.3097
