algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.05516,0.02559263565950174,1.8547
MAGNA,0.2,0.04828,0.04462927290467547,1.9211
MAGNA,0.1,0.14484,0.10098486520266292,1.9448
MAGNA,0.0,0.06896000000000001,0.0799472200892564,1.9723
MAGNA,0.7,0.03114,0.04292700781559321,1.6953
MAGNA,0.5,0.01722,0.02110644451346555,1.8144
MAGNA,0.9,0.03712,0.04185130822328019,1.6649
MAGNA,0.01,0.27242,0.34213021936099125,1.9597
MAGNA,0.03,0.062060000000000004,0.03574867829724618,1.9674
MAGNA,0.02,0.28964,0.284962950223358,1.9589
MAGNA,0.05,0.05172,0.07996878766118691,1.9574
MAGNA,0.04,0.09656,0.10098486520266292,1.9602
