algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.08276,0.04784519829617179,9.7985
MAGNA,0.2,0.27586,0.40945847530610474,9.8647
MAGNA,0.1,0.61034,0.5025998935535104,10.6545
MAGNA,0.0,0.4724,0.48638817317035987,10.7175
MAGNA,0.7,0.024120000000000003,0.019659272621335714,8.6860
MAGNA,0.5,0.0793,0.06961910657283674,9.1437
MAGNA,0.9,0.01468,0.023031977770048322,7.6484
MAGNA,0.01,0.44482,0.5089046786972979,10.7911
MAGNA,0.03,0.68276,0.435083219625855,10.9534
MAGNA,0.02,0.60344,0.5430461932469466,10.9373
MAGNA,0.05,0.7931,0.4436079913617427,11.1940
MAGNA,0.04,0.80344,0.2899369121033057,10.9961
