algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.61034,0.5335989861309708,72.2320
MAGNA,0.2,0.45862,0.4990498291754041,74.7292
MAGNA,0.1,0.64136,0.49108804505913195,78.3748
MAGNA,0.0,0.89656,0.23129887159257825,79.1747
MAGNA,0.7,0.04198,0.05635447630845308,55.5722
MAGNA,0.5,0.058620000000000005,0.035753489340202865,60.5526
MAGNA,0.9,0.04444,0.0428579397544959,54.9124
MAGNA,0.01,1.0,0.0,82.5786
MAGNA,0.03,0.86552,0.3007064216141717,79.6749
MAGNA,0.02,1.0,0.0,81.7833
MAGNA,0.05,1.0,0.0,82.5056
MAGNA,0.04,0.85518,0.22662705487209597,79.9663
