algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.02758,0.019659272621335714,.4565
MAGNA,0.2,0.03104,0.02559263565950174,.4717
MAGNA,0.1,0.0379,0.01889642823392823,.4894
MAGNA,0.0,0.03792,0.04625680490479212,.4694
MAGNA,0.7,0.0178,0.017897625540836414,.4412
MAGNA,0.5,0.0172,0.0,.4496
MAGNA,0.9,0.01184,0.017576347743487552,.4296
MAGNA,0.01,0.0862,0.1644706508772918,.5514
MAGNA,0.03,0.02068,0.022475920448337596,.4642
MAGNA,0.02,0.04136,0.02315821668436497,.4622
MAGNA,0.05,0.03792,0.04290998718247303,.4756
MAGNA,0.04,0.0448,0.04498249659589828,.4654
